2021-05-03 00:34:13,126 [    INFO] employer: A new worker Philip was hired
2021-05-03 00:34:13,158 [    INFO] employer: Package package_23 was delivered by Hermes
2021-05-03 00:34:13,158 [    INFO] zoidberg: Package package_24 successfully delivered
2021-05-03 00:34:13,158 [    INFO] leela: Package package_29 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,158 [    INFO] employer: Still 9975 packages to sent
2021-05-03 00:34:13,158 [    INFO] employer: Package package_25 was delivered by Amy
2021-05-03 00:34:13,158 [    INFO] bender: Package package_30 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,158 [    INFO] employer: Package package_26 was delivered by Philip
2021-05-03 00:34:13,158 [    INFO] hermes: Package package_31 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,158 [    INFO] employer: Package package_24 was delivered by Zoidberg
2021-05-03 00:34:13,158 [    INFO] leela: Delivering package package_29
2021-05-03 00:34:13,158 [    INFO] employer: Still 9972 packages to sent
2021-05-03 00:34:13,158 [    INFO] amy: Package package_32 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,158 [    INFO] bender: Delivering package package_30
2021-05-03 00:34:13,158 [    INFO] philip: Package package_33 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,158 [    INFO] hermes: Delivering package package_31
2021-05-03 00:34:13,158 [    INFO] zoidberg: Package package_34 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,158 [    INFO] leela: Package package_29 successfully delivered
2021-05-03 00:34:13,158 [    INFO] employer: Still 9972 packages to sent
2021-05-03 00:34:13,158 [    INFO] amy: Delivering package package_32
2021-05-03 00:34:13,158 [    INFO] bender: Package package_30 successfully delivered
2021-05-03 00:34:13,158 [    INFO] philip: Delivering package package_33
2021-05-03 00:34:13,158 [    INFO] hermes: Package package_31 successfully delivered
2021-05-03 00:34:13,158 [    INFO] zoidberg: Delivering package package_34
2021-05-03 00:34:13,158 [    INFO] employer: Package package_29 was delivered by Leela
2021-05-03 00:34:13,158 [    INFO] employer: Still 9971 packages to sent
2021-05-03 00:34:13,158 [    INFO] amy: Package package_32 successfully delivered
2021-05-03 00:34:13,166 [    INFO] employer: Package package_30 was delivered by Bender
2021-05-03 00:34:13,166 [    INFO] philip: Package package_33 successfully delivered
2021-05-03 00:34:13,166 [    INFO] employer: Package package_31 was delivered by Hermes
2021-05-03 00:34:13,166 [    INFO] zoidberg: Package package_34 successfully delivered
2021-05-03 00:34:13,166 [    INFO] leela: Package package_35 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,166 [    INFO] leela: Delivering package package_35
2021-05-03 00:34:13,166 [    INFO] employer: Still 9969 packages to sent
2021-05-03 00:34:13,166 [    INFO] bender: Package package_36 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,166 [    INFO] employer: Package package_33 was delivered by Philip
2021-05-03 00:34:13,166 [    INFO] hermes: Package package_37 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,166 [    INFO] employer: Package package_34 was delivered by Zoidberg
2021-05-03 00:34:13,166 [    INFO] employer: Package package_32 was delivered by Amy
2021-05-03 00:34:13,166 [    INFO] leela: Package package_35 successfully delivered
2021-05-03 00:34:13,166 [    INFO] employer: Still 9966 packages to sent
2021-05-03 00:34:13,166 [    INFO] bender: Delivering package package_36
2021-05-03 00:34:13,166 [    INFO] philip: Package package_38 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,166 [    INFO] hermes: Delivering package package_37
2021-05-03 00:34:13,166 [    INFO] zoidberg: Package package_39 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,166 [    INFO] amy: Package package_40 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,166 [    INFO] employer: Package package_35 was delivered by Leela
2021-05-03 00:34:13,166 [    INFO] employer: Still 9965 packages to sent
2021-05-03 00:34:13,166 [    INFO] bender: Package package_36 successfully delivered
2021-05-03 00:34:13,166 [    INFO] philip: Delivering package package_38
2021-05-03 00:34:13,166 [    INFO] hermes: Package package_37 successfully delivered
2021-05-03 00:34:13,166 [    INFO] zoidberg: Delivering package package_39
2021-05-03 00:34:13,166 [    INFO] amy: Delivering package package_40
2021-05-03 00:34:13,166 [    INFO] leela: Package package_41 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,166 [    INFO] employer: Still 9965 packages to sent
2021-05-03 00:34:13,166 [    INFO] employer: Package package_36 was delivered by Bender
2021-05-03 00:34:13,166 [    INFO] philip: Package package_38 successfully delivered
2021-05-03 00:34:13,166 [    INFO] employer: Package package_37 was delivered by Hermes
2021-05-03 00:34:13,166 [    INFO] zoidberg: Package package_39 successfully delivered
2021-05-03 00:34:13,166 [    INFO] amy: Package package_40 successfully delivered
2021-05-03 00:34:13,166 [    INFO] leela: Delivering package package_41
2021-05-03 00:34:13,166 [    INFO] employer: Still 9963 packages to sent
2021-05-03 00:34:13,166 [    INFO] bender: Package package_42 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,166 [    INFO] employer: Package package_38 was delivered by Philip
2021-05-03 00:34:13,166 [    INFO] hermes: Package package_43 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,174 [    INFO] hermes: Delivering package package_43
2021-05-03 00:34:13,166 [    INFO] employer: Package package_40 was delivered by Amy
2021-05-03 00:34:13,174 [    INFO] amy: Package package_45 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,174 [    INFO] amy: Delivering package package_45
2021-05-03 00:34:13,174 [    INFO] bender: Delivering package package_42
2021-05-03 00:34:13,174 [    INFO] philip: Package package_44 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,166 [    INFO] employer: Package package_39 was delivered by Zoidberg
2021-05-03 00:34:13,174 [    INFO] hermes: Package package_43 successfully delivered
2021-05-03 00:34:13,174 [    INFO] leela: Package package_41 successfully delivered
2021-05-03 00:34:13,174 [    INFO] employer: Still 9960 packages to sent
2021-05-03 00:34:13,174 [    INFO] amy: Package package_45 successfully delivered
2021-05-03 00:34:13,174 [    INFO] bender: Package package_42 successfully delivered
2021-05-03 00:34:13,174 [    INFO] philip: Delivering package package_44
2021-05-03 00:34:13,174 [    INFO] zoidberg: Package package_46 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,174 [    INFO] employer: Package package_43 was delivered by Hermes
2021-05-03 00:34:13,174 [    INFO] employer: Package package_41 was delivered by Leela
2021-05-03 00:34:13,174 [    INFO] employer: Still 9958 packages to sent
2021-05-03 00:34:13,174 [    INFO] employer: Package package_45 was delivered by Amy
2021-05-03 00:34:13,174 [    INFO] employer: Package package_42 was delivered by Bender
2021-05-03 00:34:13,174 [    INFO] philip: Package package_44 successfully delivered
2021-05-03 00:34:13,174 [    INFO] zoidberg: Delivering package package_46
2021-05-03 00:34:13,174 [    INFO] hermes: Package package_47 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,174 [    INFO] leela: Package package_48 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,174 [    INFO] employer: Still 9956 packages to sent
2021-05-03 00:34:13,174 [    INFO] amy: Package package_49 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,174 [    INFO] bender: Package package_50 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,174 [    INFO] employer: Package package_44 was delivered by Philip
2021-05-03 00:34:13,174 [    INFO] zoidberg: Package package_46 successfully delivered
2021-05-03 00:34:13,182 [    INFO] hermes: Delivering package package_47
2021-05-03 00:34:13,182 [    INFO] leela: Delivering package package_48
2021-05-03 00:34:13,182 [    INFO] employer: Still 9955 packages to sent
2021-05-03 00:34:13,182 [    INFO] amy: Delivering package package_49
2021-05-03 00:34:13,182 [    INFO] bender: Delivering package package_50
2021-05-03 00:34:13,182 [    INFO] philip: Package package_51 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,182 [    INFO] employer: Package package_46 was delivered by Zoidberg
2021-05-03 00:34:13,182 [    INFO] hermes: Package package_47 successfully delivered
2021-05-03 00:34:13,182 [    INFO] leela: Package package_48 successfully delivered
2021-05-03 00:34:13,182 [    INFO] employer: Still 9954 packages to sent
2021-05-03 00:34:13,182 [    INFO] amy: Package package_49 successfully delivered
2021-05-03 00:34:13,182 [    INFO] bender: Package package_50 successfully delivered
2021-05-03 00:34:13,182 [    INFO] philip: Delivering package package_51
2021-05-03 00:34:13,182 [    INFO] zoidberg: Package package_52 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,182 [    INFO] employer: Package package_47 was delivered by Hermes
2021-05-03 00:34:13,182 [    INFO] employer: Package package_48 was delivered by Leela
2021-05-03 00:34:13,182 [    INFO] employer: Still 9952 packages to sent
2021-05-03 00:34:13,182 [    INFO] employer: Package package_49 was delivered by Amy
2021-05-03 00:34:13,182 [    INFO] employer: Package package_50 was delivered by Bender
2021-05-03 00:34:13,182 [    INFO] philip: Package package_51 successfully delivered
2021-05-03 00:34:13,182 [    INFO] zoidberg: Delivering package package_52
2021-05-03 00:34:13,182 [    INFO] hermes: Package package_53 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,182 [    INFO] leela: Package package_54 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,182 [    INFO] employer: Still 9950 packages to sent
2021-05-03 00:34:13,182 [    INFO] amy: Package package_55 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,182 [    INFO] bender: Package package_56 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,182 [    INFO] employer: Package package_51 was delivered by Philip
2021-05-03 00:34:13,182 [    INFO] zoidberg: Package package_52 successfully delivered
2021-05-03 00:34:13,182 [    INFO] hermes: Delivering package package_53
2021-05-03 00:34:13,182 [    INFO] leela: Delivering package package_54
2021-05-03 00:34:13,182 [    INFO] employer: Still 9949 packages to sent
2021-05-03 00:34:13,190 [    INFO] amy: Delivering package package_55
2021-05-03 00:34:13,190 [    INFO] amy: Package package_55 successfully delivered
2021-05-03 00:34:13,190 [    INFO] philip: Package package_57 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,190 [    INFO] employer: Package package_52 was delivered by Zoidberg
2021-05-03 00:34:13,190 [    INFO] hermes: Package package_53 successfully delivered
2021-05-03 00:34:13,190 [    INFO] leela: Package package_54 successfully delivered
2021-05-03 00:34:13,190 [    INFO] employer: Still 9948 packages to sent
2021-05-03 00:34:13,190 [    INFO] bender: Delivering package package_56
2021-05-03 00:34:13,190 [    INFO] employer: Package package_55 was delivered by Amy
2021-05-03 00:34:13,190 [    INFO] philip: Delivering package package_57
2021-05-03 00:34:13,190 [    INFO] zoidberg: Package package_58 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,190 [    INFO] employer: Package package_53 was delivered by Hermes
2021-05-03 00:34:13,190 [    INFO] employer: Package package_54 was delivered by Leela
2021-05-03 00:34:13,190 [    INFO] employer: Still 9945 packages to sent
2021-05-03 00:34:13,190 [    INFO] bender: Package package_56 successfully delivered
2021-05-03 00:34:13,190 [    INFO] amy: Package package_59 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,190 [    INFO] amy: Delivering package package_59
2021-05-03 00:34:13,190 [    INFO] philip: Package package_57 successfully delivered
2021-05-03 00:34:13,190 [    INFO] hermes: Package package_60 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,190 [    INFO] leela: Package package_61 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,190 [    INFO] employer: Still 9945 packages to sent
2021-05-03 00:34:13,190 [    INFO] employer: Package package_56 was delivered by Bender
2021-05-03 00:34:13,190 [    INFO] zoidberg: Delivering package package_58
2021-05-03 00:34:13,190 [    INFO] amy: Package package_59 successfully delivered
2021-05-03 00:34:13,198 [    INFO] employer: Package package_57 was delivered by Philip
2021-05-03 00:34:13,198 [    INFO] hermes: Delivering package package_60
2021-05-03 00:34:13,198 [    INFO] leela: Delivering package package_61
2021-05-03 00:34:13,198 [    INFO] employer: Still 9943 packages to sent
2021-05-03 00:34:13,198 [    INFO] bender: Package package_62 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,198 [    INFO] zoidberg: Package package_58 successfully delivered
2021-05-03 00:34:13,198 [    INFO] employer: Package package_59 was delivered by Amy
2021-05-03 00:34:13,198 [    INFO] philip: Package package_63 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,198 [    INFO] hermes: Package package_60 successfully delivered
2021-05-03 00:34:13,198 [    INFO] leela: Package package_61 successfully delivered
2021-05-03 00:34:13,198 [    INFO] employer: Still 9942 packages to sent
2021-05-03 00:34:13,198 [    INFO] bender: Delivering package package_62
2021-05-03 00:34:13,198 [    INFO] employer: Package package_58 was delivered by Zoidberg
2021-05-03 00:34:13,198 [    INFO] amy: Package package_64 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,198 [    INFO] philip: Delivering package package_63
2021-05-03 00:34:13,198 [    INFO] employer: Package package_60 was delivered by Hermes
2021-05-03 00:34:13,198 [    INFO] employer: Package package_61 was delivered by Leela
2021-05-03 00:34:13,198 [    INFO] employer: Still 9939 packages to sent
2021-05-03 00:34:13,198 [    INFO] bender: Package package_62 successfully delivered
2021-05-03 00:34:13,198 [    INFO] zoidberg: Package package_65 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,198 [    INFO] amy: Delivering package package_64
2021-05-03 00:34:13,198 [    INFO] philip: Package package_63 successfully delivered
2021-05-03 00:34:13,198 [    INFO] hermes: Package package_66 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,198 [    INFO] leela: Package package_67 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,198 [    INFO] employer: Still 9939 packages to sent
2021-05-03 00:34:13,198 [    INFO] employer: Package package_62 was delivered by Bender
2021-05-03 00:34:13,198 [    INFO] zoidberg: Delivering package package_65
2021-05-03 00:34:13,198 [    INFO] amy: Package package_64 successfully delivered
2021-05-03 00:34:13,198 [    INFO] employer: Package package_63 was delivered by Philip
2021-05-03 00:34:13,198 [    INFO] hermes: Delivering package package_66
2021-05-03 00:34:13,198 [    INFO] leela: Delivering package package_67
2021-05-03 00:34:13,198 [    INFO] employer: Still 9937 packages to sent
2021-05-03 00:34:13,206 [    INFO] bender: Package package_68 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,206 [    INFO] zoidberg: Package package_65 successfully delivered
2021-05-03 00:34:13,206 [    INFO] employer: Package package_64 was delivered by Amy
2021-05-03 00:34:13,206 [    INFO] amy: Package package_70 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,206 [    INFO] philip: Package package_69 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,206 [    INFO] leela: Package package_67 successfully delivered
2021-05-03 00:34:13,206 [    INFO] employer: Still 9936 packages to sent
2021-05-03 00:34:13,206 [    INFO] bender: Delivering package package_68
2021-05-03 00:34:13,206 [    INFO] employer: Package package_65 was delivered by Zoidberg
2021-05-03 00:34:13,206 [    INFO] hermes: Package package_66 successfully delivered
2021-05-03 00:34:13,206 [    INFO] amy: Delivering package package_70
2021-05-03 00:34:13,206 [    INFO] philip: Delivering package package_69
2021-05-03 00:34:13,206 [    INFO] employer: Package package_67 was delivered by Leela
2021-05-03 00:34:13,206 [    INFO] employer: Still 9934 packages to sent
2021-05-03 00:34:13,206 [    INFO] bender: Package package_68 successfully delivered
2021-05-03 00:34:13,206 [    INFO] zoidberg: Package package_71 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,206 [    INFO] employer: Package package_66 was delivered by Hermes
2021-05-03 00:34:13,206 [    INFO] amy: Package package_70 successfully delivered
2021-05-03 00:34:13,206 [    INFO] philip: Package package_69 successfully delivered
2021-05-03 00:34:13,206 [    INFO] leela: Package package_72 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,206 [    INFO] employer: Still 9933 packages to sent
2021-05-03 00:34:13,206 [    INFO] employer: Package package_68 was delivered by Bender
2021-05-03 00:34:13,206 [    INFO] zoidberg: Delivering package package_71
2021-05-03 00:34:13,206 [    INFO] hermes: Package package_73 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,206 [    INFO] employer: Package package_70 was delivered by Amy
2021-05-03 00:34:13,206 [    INFO] employer: Package package_69 was delivered by Philip
2021-05-03 00:34:13,206 [    INFO] leela: Delivering package package_72
2021-05-03 00:34:13,206 [    INFO] employer: Still 9930 packages to sent
2021-05-03 00:34:13,206 [    INFO] bender: Package package_74 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,214 [    INFO] zoidberg: Package package_71 successfully delivered
2021-05-03 00:34:13,214 [    INFO] hermes: Delivering package package_73
2021-05-03 00:34:13,214 [    INFO] amy: Package package_75 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,214 [    INFO] philip: Package package_76 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,214 [    INFO] leela: Package package_72 successfully delivered
2021-05-03 00:34:13,214 [    INFO] employer: Still 9930 packages to sent
